folder,exp_name,approach,datasets,num_tasks,nc_first_task,scenario,seed,batch_size,clipping,exemplar_selection,lamb,T,alpha,beta,gamma,damping,fim_num_samples,fim_sampling_type,lr,lr_factor,network,nepochs,final_avg_acc_taw,final_avg_acc_tag,final_avg_taw_forg,final_avg_tag_forg
cifar100_icarl_r_walk_r_walk_10_10_lamb_2_alpha_0.5_seed0,r_walk_10_10_lamb_2_alpha_0.5_seed0,r_walk,cifar100_icarl,10,10,(10/10),0,128,10000,herding,2,,0.5,,,0.1,-1,max_pred,0.1,3,resnet32,50,53.2,53.2,53.2,53.2
cifar100_icarl_mas_mas_5_20_lamb_1_seed0,mas_5_20_lamb_1_seed0,mas,cifar100_icarl,5,20,(5/20),0,128,10000,herding,1,,0.5,,,,,,0.1,3,resnet32,50,48.4,48.4,48.4,48.4
cifar100_icarl_lwf_lwf_4_25_lamb_2_T_2_seed0,lwf_4_25_lamb_2_T_2_seed0,lwf,cifar100_icarl,4,25,(4/25),0,128,10000,herding,2,2,,,,,,,0.1,3,resnet32,50,47.1,47.1,47.1,47.1
cifar100_icarl_path_integral_path_integral_5_40_15_lamb_0.1_damping_0.05_seed0,path_integral_5_40_15_lamb_0.1_damping_0.05_seed0,path_integral,cifar100_icarl,5,40,(5/40-15),0,128,10000,herding,0.1,,,,,0.05,,,0.1,3,resnet32,50,47,47,47,47
cifar100_icarl_r_walk_r_walk_4_25_lamb_1_alpha_0.3_seed0,r_walk_4_25_lamb_1_alpha_0.3_seed0,r_walk,cifar100_icarl,4,25,(4/25),0,128,10000,herding,1,,0.3,,,0.1,-1,max_pred,0.1,3,resnet32,50,46.6,46.6,46.6,46.6
cifar100_icarl_lwf_lwf_10_10_lamb_1_T_4_seed0,lwf_10_10_lamb_1_T_4_seed0,lwf,cifar100_icarl,10,10,(10/10),0,128,10000,herding,1,4,,,,,,,0.1,3,resnet32,50,53.9,53.9,53.9,53.9
cifar100_icarl_r_walk_r_walk_5_20_lamb_3_alpha_0.6_seed0,r_walk_5_20_lamb_3_alpha_0.6_seed0,r_walk,cifar100_icarl,5,20,(5/20),0,128,10000,herding,3,,0.6,,,0.1,-1,max_pred,0.1,3,resnet32,50,46.7,46.7,46.7,46.7
cifar100_icarl_lwm_lwm_5_20_beta_3_gamma_15_seed0,lwm_5_20_beta_3_gamma_15_seed0,lwm,cifar100_icarl,5,20,(5/20),0,128,10000,herding,,,,3,15,,,,0.1,3,resnet32,50,46.1,46.1,46.1,46.1
cifar100_icarl_r_walk_r_walk_5_40_15_lamb_100_alpha_0.3_seed0,r_walk_5_40_15_lamb_100_alpha_0.3_seed0,r_walk,cifar100_icarl,5,40,(5/40-15),0,128,10000,herding,100,,0.3,,,0.1,-1,max_pred,0.1,3,resnet32,50,38.9,38.9,38.9,38.9
cifar100_icarl_mas_mas_2_50_lamb_1_seed0,mas_2_50_lamb_1_seed0,mas,cifar100_icarl,2,50,(2/50),0,128,10000,herding,1,,0.5,,,,,,0.1,3,resnet32,50,40.5,40.5,40.5,40.5
cifar100_icarl_path_integral_path_integral_4_25_lamb_0.05_damping_0.1_seed0,path_integral_4_25_lamb_0.05_damping_0.1_seed0,path_integral,cifar100_icarl,4,25,(4/25),0,128,10000,herding,0.05,,,,,0.1,,,0.1,3,resnet32,50,47.7,47.7,47.7,47.7
cifar100_icarl_lwm_lwm_5_40_15_beta_1_gamma_15_seed0,lwm_5_40_15_beta_1_gamma_15_seed0,lwm,cifar100_icarl,5,40,(5/40-15),0,128,10000,herding,,,,1,15,,,,0.1,3,resnet32,50,45.2,45.2,45.2,45.2
cifar100_icarl_lwf_lwf_3_33_34_lamb_2_T_5_seed0,lwf_3_33_34_lamb_2_T_5_seed0,lwf,cifar100_icarl,3,33,(3/33-34),0,128,10000,herding,2,5,,,,,,,0.1,3,resnet32,50,43.2,43.2,43.2,43.2
